,esrb_rating,no_descriptors,strong_language,blood_and_gore,blood,mild_fantasy_violence,sexual_themes,intense_violence,strong_sexual_content,simulated_gambling,language
130,2,0,0,0,0,0,0,0,0,0,0
131,1,0,0,0,0,0,0,0,0,0,0
132,0,1,0,0,0,0,0,0,0,0,0
133,2,0,0,0,0,0,0,0,0,0,0
134,2,0,0,0,0,0,0,0,0,0,1
135,2,0,0,0,1,0,0,0,0,0,1
136,0,0,0,0,0,1,0,0,0,0,0
137,2,0,0,0,0,0,0,0,0,1,0
138,2,0,0,0,0,0,0,0,0,1,0
139,2,0,0,0,0,0,0,0,0,1,0
140,3,0,1,1,0,0,1,1,0,1,0
141,3,0,1,1,0,0,0,0,0,0,1
142,0,1,0,0,0,0,0,0,0,0,0
143,2,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0
145,0,1,0,0,0,0,0,0,0,0,0
146,0,1,0,0,0,0,0,0,0,0,0
147,2,0,0,0,1,0,0,0,0,0,1
148,2,0,0,0,0,0,0,0,0,0,0
149,1,0,0,0,0,0,0,0,0,0,0
150,3,0,0,1,0,0,0,0,0,0,0
151,0,0,0,0,0,1,0,0,0,0,0
152,1,0,0,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0,0
154,2,0,0,1,0,0,0,1,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0
156,2,0,0,0,1,0,0,0,0,0,0
157,3,0,1,1,0,0,0,1,0,0,0
158,3,0,1,1,0,0,0,0,0,0,0
159,3,0,1,1,0,0,1,0,0,0,1
160,3,0,0,0,1,0,0,0,0,0,1
161,2,0,1,0,0,0,0,1,0,0,0
162,0,1,0,0,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0,0,0,0,0
164,2,0,0,0,0,0,0,0,0,0,0
165,2,0,0,1,0,0,0,0,0,0,1
166,1,0,0,0,0,0,0,0,0,0,0
167,0,1,0,0,0,0,0,0,0,0,0
168,3,0,1,0,1,0,0,0,0,1,0
169,3,0,0,1,0,0,0,1,0,0,0
170,0,1,0,0,0,0,0,0,0,0,0
171,0,1,0,0,0,0,0,0,0,0,0
172,0,1,0,0,0,0,0,0,0,0,0
173,2,0,0,0,0,0,0,0,0,0,0
174,2,0,0,0,0,0,0,0,0,0,0
175,1,0,0,0,0,0,0,0,0,0,1
176,2,0,0,0,1,0,0,1,1,0,0
177,2,0,0,1,0,0,0,0,0,1,0
178,0,1,0,0,0,0,0,0,0,0,0
179,0,1,0,0,0,0,0,0,0,0,0
180,1,0,0,0,0,0,0,0,0,0,0
181,2,0,0,0,0,0,0,0,0,0,0
182,0,1,0,0,0,0,0,0,0,0,0
183,1,0,0,0,0,0,0,1,0,0,0
184,1,0,0,0,0,0,0,0,0,0,0
185,2,0,0,0,0,0,0,0,0,0,0
186,3,0,1,1,0,0,0,0,0,0,0
187,1,0,0,0,0,0,0,1,0,0,0
188,2,0,0,0,0,0,0,0,0,1,0
189,2,0,0,0,0,0,0,1,0,1,0
190,0,0,0,0,0,0,0,0,0,0,0
191,3,0,0,1,0,0,0,1,1,0,0
192,3,0,0,0,0,0,0,0,1,0,0
193,3,0,1,0,1,0,0,0,0,1,1
194,2,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0
196,3,0,1,1,0,0,0,0,0,0,0
197,1,0,0,0,0,0,0,0,0,0,0
198,2,0,0,0,0,0,0,0,0,0,0
199,2,0,0,0,0,0,0,0,0,0,0
200,2,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,1,0,0,0,0,0
202,2,0,0,0,0,0,0,0,0,0,0
203,2,0,0,0,0,0,1,0,0,0,0
204,2,1,0,0,1,0,0,0,0,0,1
205,3,0,1,0,0,0,1,0,0,0,0
206,2,0,0,0,0,0,0,0,0,0,1
207,1,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0
209,3,0,1,0,1,0,0,1,0,0,0
210,0,0,0,0,0,1,0,0,0,0,0
211,2,0,0,0,0,0,0,0,0,0,0
212,2,0,0,0,1,0,0,1,0,1,0
213,0,1,0,0,0,0,0,0,0,0,0
214,1,0,0,0,0,0,0,0,0,0,0
215,3,0,0,1,0,0,0,1,1,0,0
216,1,0,0,0,0,0,0,0,0,0,0
217,2,0,0,0,0,0,1,0,0,0,1
218,1,0,0,0,0,0,0,1,0,0,0
219,1,0,0,0,0,0,0,0,0,0,0
220,2,0,0,0,0,0,0,0,0,0,0
221,2,0,0,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,0,0,0,0,0
223,1,0,0,0,0,0,0,0,0,0,0
224,2,0,0,0,0,0,0,0,0,0,0
225,1,0,0,0,0,0,0,0,0,0,0
226,3,0,1,1,0,0,1,0,0,0,0
227,2,0,0,0,1,0,0,0,0,0,0
228,3,0,0,1,0,0,0,1,0,1,0
229,1,0,0,0,0,0,0,0,0,0,0
230,3,0,1,0,1,0,0,0,0,0,0
231,2,0,0,0,0,0,0,0,0,0,0
232,0,1,0,0,0,0,0,0,0,0,0
233,0,1,0,0,0,0,0,0,0,0,0
234,0,1,0,0,0,0,0,0,0,0,0
235,1,0,0,0,0,0,0,0,0,0,0
236,3,0,1,1,0,0,0,1,0,0,0
237,2,0,0,0,0,0,0,0,0,0,0
238,2,0,0,0,0,0,0,0,0,1,0
239,0,1,0,0,0,0,0,0,0,0,0
240,0,1,0,0,0,0,0,0,0,0,0
241,1,0,0,0,0,0,0,1,0,0,0
242,0,1,0,0,0,0,0,0,0,0,0
243,2,0,0,1,0,0,0,0,0,0,1
244,0,1,0,0,0,0,0,0,0,0,0
245,0,1,0,0,0,0,0,0,0,0,0
246,2,1,0,0,1,0,0,1,0,0,0
247,3,0,0,1,0,0,0,0,0,0,0
248,2,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,1,0,0,0,0,0
252,1,0,0,0,0,1,0,0,0,0,0
253,1,0,0,0,0,0,0,0,0,0,0
254,3,0,1,0,1,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0
256,3,0,0,1,0,0,0,0,0,1,0
257,3,0,1,1,0,0,0,0,0,0,0
258,2,0,0,0,0,0,0,0,0,0,1
259,2,0,0,0,0,0,0,0,0,0,1
260,3,1,0,1,0,0,0,0,0,0,1
261,1,0,0,0,0,0,0,0,0,0,0
262,2,0,0,0,0,0,0,0,0,0,0
263,3,0,1,0,1,0,1,0,0,0,1
264,3,0,1,1,0,0,0,1,0,0,0
265,2,0,0,0,1,0,0,0,0,0,0
266,1,0,0,0,0,0,0,0,0,0,0
267,1,0,0,0,0,0,0,0,0,0,0
268,2,0,0,0,0,0,0,0,0,0,0
269,0,1,0,0,0,0,0,0,0,0,0
270,2,0,0,0,0,0,0,0,0,0,0
271,1,0,0,0,0,0,0,1,0,0,0
272,1,1,0,0,0,0,0,0,0,1,0
273,2,0,0,0,1,0,0,1,0,1,0
274,3,0,0,1,0,0,0,1,1,0,0
275,3,0,1,1,0,0,0,1,0,0,0
276,1,0,0,0,0,0,0,0,0,0,0
277,1,0,0,0,0,0,0,0,0,0,0
278,1,0,0,0,0,0,0,0,0,0,0
279,3,0,1,1,0,0,0,0,0,0,0
280,2,0,0,0,0,0,0,0,0,0,0
281,1,1,0,0,0,0,0,0,0,0,0
282,2,0,0,0,0,0,0,0,0,0,0
283,2,0,0,0,0,0,0,0,0,0,1
284,1,0,0,0,0,0,0,0,0,0,0
285,0,1,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,1,0,0,0,0,0
287,2,0,0,0,1,0,0,0,0,0,1
288,2,0,0,0,1,0,0,1,1,0,0
289,2,0,0,0,1,0,0,0,0,1,0
290,2,0,0,0,0,0,0,0,0,1,0
291,3,0,1,1,0,0,0,0,0,1,1
292,2,0,0,0,0,0,0,0,0,0,1
293,3,0,1,1,0,0,0,0,1,0,1
294,0,0,0,0,0,0,0,0,0,0,0
295,3,0,1,0,1,0,0,1,0,0,0
296,3,0,1,0,1,0,1,0,0,1,0
297,2,0,0,1,0,0,0,0,0,0,0
298,0,1,0,0,0,0,0,0,0,0,0
299,2,0,0,0,0,0,0,0,0,0,0
300,3,0,1,0,1,0,0,0,0,0,0
301,3,0,0,1,0,0,0,0,0,0,1
302,3,0,0,1,0,0,0,0,0,0,0
303,3,0,1,0,1,0,0,0,0,0,0
304,3,0,0,0,1,0,1,0,0,0,0
305,2,0,0,0,0,0,0,0,0,1,0
306,1,0,0,0,0,0,0,0,0,0,0
307,2,0,0,0,1,0,0,0,0,0,0
308,3,0,0,0,1,0,0,0,0,0,0
309,2,0,0,0,0,0,1,0,0,0,0
310,2,0,0,0,0,0,0,0,0,0,0
311,3,0,0,1,0,0,0,1,0,0,0
312,0,1,0,0,0,0,0,0,0,0,0
313,2,0,0,0,1,0,0,0,0,0,0
314,3,0,1,0,1,0,0,0,0,0,0
315,3,0,0,1,0,0,0,1,1,0,0
316,0,1,0,0,0,0,0,0,0,0,0
317,2,1,0,0,0,0,0,0,0,0,1
318,0,1,0,0,0,0,0,0,0,0,0
319,2,0,0,0,1,0,0,0,0,1,1
320,0,1,0,0,0,0,0,0,0,0,0
321,2,0,0,0,0,0,0,0,0,0,1
323,2,0,0,0,1,0,0,0,0,0,1
324,0,1,0,0,0,0,0,0,0,0,0
325,3,0,1,1,0,0,1,1,0,0,0
326,3,0,0,1,0,0,0,1,1,0,0
327,0,1,0,0,0,0,0,0,0,0,0
328,3,0,0,1,0,0,0,1,1,0,0
329,1,0,0,0,0,0,0,1,0,0,0
330,1,0,0,0,0,0,0,0,0,0,0
331,3,0,0,0,1,0,0,0,0,0,0
332,2,0,0,1,0,0,0,0,0,0,1
333,1,0,0,0,0,0,0,0,0,0,0
334,1,0,0,0,0,0,0,0,0,0,0
335,2,0,0,0,0,0,1,0,0,0,0
336,2,0,0,0,1,0,0,0,0,0,0
337,2,0,0,0,0,0,0,0,0,0,0
338,2,0,0,0,0,0,0,0,0,0,0
339,1,0,0,0,0,0,0,0,0,0,0
340,3,0,1,0,1,0,1,0,0,1,1
341,3,0,0,1,0,0,0,1,1,0,0
342,2,0,0,0,1,0,1,0,0,1,0
343,0,1,0,0,0,0,0,0,0,0,0
344,3,0,0,1,0,0,0,0,0,0,0
345,1,0,0,0,0,0,0,0,0,0,0
346,2,0,0,0,1,0,0,0,0,0,0
347,1,0,0,0,0,0,0,0,0,0,0
348,1,0,0,0,0,0,0,1,0,0,0
349,0,1,0,0,0,0,0,0,0,0,0
350,2,0,0,0,0,0,0,0,0,1,0
351,2,0,0,0,0,0,0,0,0,0,0
352,2,0,0,0,1,0,0,0,0,0,0
353,2,1,0,0,0,0,0,0,0,0,0
354,2,0,0,0,0,0,0,0,0,0,1
355,0,0,0,0,0,0,0,0,0,0,0
356,3,0,1,1,0,0,0,0,0,0,1
357,2,0,0,0,0,0,0,1,0,0,0
358,2,0,0,0,0,0,0,0,0,0,0
359,2,0,0,0,1,0,0,0,0,0,0
360,3,0,1,1,0,0,0,0,0,0,0
361,2,0,0,0,1,0,0,1,0,0,0
362,1,0,0,0,0,0,0,0,0,0,1
363,2,0,0,0,1,0,0,1,0,0,0
364,3,0,1,0,0,0,1,0,0,0,0
365,2,0,0,0,0,0,0,0,0,0,1
366,2,0,0,0,0,0,0,0,0,0,0
367,2,0,0,0,0,0,0,0,0,0,1
368,2,0,0,0,0,0,0,0,0,0,0
369,2,0,0,0,0,0,0,0,0,0,0
370,2,0,0,0,0,0,0,0,0,0,0
371,2,0,0,0,0,0,0,0,0,0,0
372,2,0,0,0,0,0,0,0,0,0,0
373,3,0,1,0,1,0,1,0,0,0,0
374,3,0,1,0,1,0,0,0,0,0,0
375,3,0,0,1,0,0,0,1,1,0,0
376,2,0,0,0,0,0,0,0,0,0,1
377,3,0,1,0,1,0,0,0,0,0,0
378,0,1,0,0,0,0,0,0,0,0,0
379,2,0,0,0,1,0,0,0,0,0,0
380,2,0,0,0,1,0,0,0,0,0,0
381,2,0,0,0,0,0,0,0,0,0,1
382,3,0,0,0,1,0,0,0,0,0,0
383,2,0,0,0,0,0,0,0,0,0,0
384,2,1,0,0,0,0,0,0,0,0,1
385,2,0,0,1,0,0,0,0,0,0,0
386,2,0,0,0,0,0,0,0,0,1,0
387,1,0,0,0,0,0,0,0,0,0,0
388,2,0,0,0,0,0,0,0,0,0,0
389,2,0,0,0,1,0,0,0,0,0,1
390,1,0,0,0,0,0,0,0,0,0,0
391,1,0,0,0,0,0,0,1,0,0,0
392,2,0,0,0,0,0,0,0,0,0,0
393,1,0,0,0,0,0,0,1,0,0,0
394,0,1,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,1,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0
397,1,0,0,0,0,0,0,0,0,0,0
398,0,1,0,0,0,0,0,0,0,0,0
399,3,0,0,1,0,0,0,1,1,0,0
400,3,0,0,1,0,0,0,0,0,0,0
401,2,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,1,0,0,0,0,0
403,2,0,0,0,0,0,0,0,0,0,0
404,2,0,0,0,0,0,0,0,0,1,0
405,2,0,0,0,0,0,0,0,0,1,0
406,2,0,0,0,0,0,0,0,0,0,0
407,2,0,0,0,0,0,0,0,0,1,0
408,0,0,0,0,0,0,0,0,0,0,0
409,1,1,0,0,0,0,0,1,0,0,0
410,0,1,0,0,0,0,0,0,0,0,0
411,0,1,0,0,0,0,0,0,0,0,0
412,3,0,0,1,0,0,1,1,1,0,0
413,2,0,0,0,1,0,0,1,0,0,0
414,3,0,1,0,1,0,0,0,0,1,0
415,3,0,0,1,0,0,0,0,0,0,0
416,2,0,0,0,1,0,0,0,0,0,0
417,1,0,0,0,0,0,0,1,0,0,0
418,2,0,0,0,1,0,0,1,0,0,0
419,2,0,0,0,1,0,0,0,0,0,0
420,1,0,0,0,0,0,0,0,0,0,0
421,3,0,0,0,0,0,1,0,0,1,0
422,2,0,0,0,0,0,0,0,0,0,0
423,2,0,0,0,0,0,0,0,0,0,0
424,2,0,0,0,0,0,0,0,0,0,0
425,1,0,0,0,0,0,0,0,0,0,0
426,2,1,0,0,0,0,0,0,0,0,0
427,3,0,0,1,0,0,0,0,0,0,0
428,1,0,0,0,0,0,0,0,0,0,0
429,2,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0
431,2,0,0,0,0,0,0,0,0,0,0
432,0,1,0,0,0,0,0,0,0,0,0
433,1,0,0,0,0,0,0,0,0,0,0
434,3,0,1,0,1,0,0,0,0,1,0
435,2,0,0,0,0,0,0,0,0,0,1
436,2,0,0,0,0,0,0,0,0,0,1
437,3,0,1,0,1,0,0,0,0,0,0
438,1,0,0,0,0,0,0,0,0,0,0
439,1,0,0,0,0,0,0,0,0,0,0
440,3,0,1,0,1,0,1,0,0,0,0
441,3,0,0,1,0,0,0,1,1,0,0
442,2,0,0,0,1,0,0,0,0,0,0
443,2,0,0,0,0,0,0,0,0,0,0
444,3,0,1,0,1,0,0,1,1,1,0
445,1,0,0,0,0,1,0,0,0,0,0
446,2,0,0,0,0,0,1,0,0,0,0
447,1,0,0,0,0,0,0,0,0,0,0
448,2,0,0,0,1,0,0,0,0,0,0
449,2,0,0,0,1,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0
451,1,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,1,0,0,0,0,0
453,3,0,1,1,0,0,0,0,0,0,0
454,0,0,0,0,0,1,0,0,0,0,0
455,3,0,0,1,0,0,0,1,1,0,0
456,3,0,0,1,0,0,0,1,0,0,0
457,0,1,0,0,0,0,0,0,0,0,0
458,3,0,1,0,1,0,1,1,0,0,0
459,1,0,0,0,0,0,0,0,0,0,1
460,1,0,0,0,0,0,0,0,0,0,0
461,1,0,0,0,0,0,0,1,0,0,0
462,3,0,1,0,1,0,0,0,0,0,0
463,1,0,0,0,0,0,0,0,0,0,1
464,2,0,0,0,1,0,0,0,0,0,0
465,3,0,0,0,1,0,0,0,1,0,0
466,3,0,0,0,1,0,0,0,0,0,1
467,0,1,0,0,0,0,0,0,0,0,0
468,1,0,0,0,0,0,0,0,0,0,0
