,mild_blood,mild_fantasy_violence,mild_language,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,esrb_rating
1044,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1172,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
1875,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
287,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
331,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
325,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
808,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
710,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
377,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
1669,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
592,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1338,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
405,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
892,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
794,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
776,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
718,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
974,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
608,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1073,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
453,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
1216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
683,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1613,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1249,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1248,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
1696,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1803,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1370,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
745,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1792,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
